City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,sao joao da barra,-21.6403,-41.0511,22.01,92,100,5.78,BR,1730243391
285,jolo,6.05,121.0167,26.58,83,100,0.55,PH,1730243392
286,morehead city,34.7229,-76.726,19.47,81,100,1.79,US,1730243197
287,kingston,17.997,-76.7936,31.53,66,40,7.72,JM,1730242841
288,callao,-12.0667,-77.15,19.16,72,20,8.75,PE,1730243237
289,kolokani,13.5728,-8.0339,27.37,32,100,2.35,ML,1730243397
290,machilipatnam,16.1667,81.1333,25.73,83,21,1.96,IN,1730243398
291,mogocha,53.7333,119.7667,-8.15,97,59,1.01,RU,1730243399
292,kiunga,-6.1219,141.2906,27.48,83,99,1.14,PG,1730243400
293,alo,6.5486,4.2686,25.56,87,34,2.04,NG,1730243402
294,upington,-28.4478,21.2561,19.21,39,0,4.12,ZA,1730243186
295,dompu,-8.5356,118.4622,27.79,74,14,1.54,ID,1730243405
296,bertrange,49.6111,6.05,10.81,92,100,1.54,LU,1730243407
297,ola,59.5833,151.2833,-7.44,65,100,6.13,RU,1730243408
298,college,64.8569,-147.8028,-4.01,75,100,3.6,US,1730243393
299,clarksville,36.5298,-87.3595,24.1,59,0,4.63,US,1730243283
300,cill airne,52.05,-9.5167,11.52,93,18,1.26,IE,1730243413
301,mhamid,29.82,-5.72,17.94,34,0,3.34,MA,1730243414
302,kerikeri,-35.2268,173.9474,13.33,80,50,5.5,NZ,1730243415
303,kamakhyanagar,20.9333,85.55,23.65,94,23,1.12,IN,1730243417
304,vilyuchinsk,52.9306,158.4028,4.15,69,95,21.73,RU,1730243358
305,tazovsky,67.4667,78.7,-4.95,93,100,2.16,RU,1730243419
306,kristiansund,63.1115,7.732,8.36,81,75,9.26,NO,1730243420
307,rikaze,29.25,88.8833,3.55,64,0,1.13,CN,1730243422
308,shanhecun,44.7,127.2,6.01,86,79,2.89,CN,1730243423
309,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,41,40,12.0,RU,1730243424
310,laguna,38.421,-121.4238,21.73,29,0,4.63,US,1730243425
311,verkhneural'sk,53.8769,59.2106,-1.94,84,63,0.51,RU,1730243428
312,maintirano,-18.0667,44.0167,25.7,88,40,1.89,MG,1730243429
313,guozhen,34.3659,107.359,13.82,79,100,1.21,CN,1730243430
314,haisyn,48.8114,29.3898,9.65,73,97,0.39,UA,1730243432
315,las toscas,-28.3529,-59.258,25.49,39,0,4.14,AR,1730243433
316,bakaly,55.1789,53.8028,2.1,75,79,4.83,RU,1730243434
317,verkhniy tagil,57.3733,59.9556,-2.4,91,94,1.9,RU,1730243435
318,carbonear,47.7332,-53.2148,3.34,86,92,4.88,CA,1730243437
319,san luis de la loma,17.2706,-100.8939,28.5,76,6,1.37,MX,1730243438
320,vila velha,-20.3297,-40.2925,21.08,96,100,6.17,BR,1730243173
321,kinango,-4.1372,39.3153,22.97,91,33,0.74,KE,1730243440
322,las lomitas,-24.7096,-60.593,33.02,26,72,2.34,AR,1730243441
323,polyarnyy,69.1989,33.4478,-0.02,65,71,8.2,RU,1730243443
324,gadzhiyevo,69.2551,33.3362,-0.21,66,65,7.94,RU,1730243444
325,carnarvon,-24.8667,113.6333,22.21,76,0,8.73,AU,1730243447
326,fale old settlement,-9.3852,-171.2468,27.79,79,18,6.62,TK,1730243448
327,nabire,-3.3667,135.4833,28.67,72,87,0.39,ID,1730243449
328,chegdomyn,51.1167,133.0167,-0.27,85,100,0.99,RU,1730243450
329,butembo,0.15,29.2833,14.71,94,20,1.08,CD,1730243452
330,howard springs,-12.497,131.047,29.99,86,100,4.07,AU,1730243453
331,coahuayana de hidalgo,18.7,-103.6583,29.43,71,8,2.16,MX,1730243454
332,motueka,-41.1333,173.0167,14.5,57,89,2.72,NZ,1730243455
333,jiexiu,37.0244,111.9125,14.51,54,100,1.67,CN,1730243457
334,el calafate,-50.3408,-72.2768,9.48,79,16,4.93,AR,1730243458
335,paciran,-6.8767,112.3761,26.97,77,24,3.28,ID,1730243459
336,santa ana,33.7456,-117.8678,22.24,43,20,4.63,US,1730243272
337,novyy urengoy,66.0833,76.6333,-3.54,96,100,2.3,RU,1730243461
338,kudahuvadhoo,2.6708,72.8944,27.85,76,66,5.0,MV,1730243463
339,anatuya,-28.4606,-62.8347,27.99,31,0,4.74,AR,1730243464
340,merizo village,13.2658,144.6691,29.65,86,37,5.8,GU,1730243465
341,puerto gaitan,4.3133,-72.0816,28.02,70,92,2.6,CO,1730243467
342,ngereklmadel,7.4883,134.4856,26.05,89,100,3.09,PW,1730243468
343,binh long,11.6512,106.6071,20.96,95,31,0.53,VN,1730243469
344,mossel bay,-34.1831,22.146,15.72,79,64,3.7,ZA,1730243359
345,moultonborough,43.7548,-71.3967,6.83,72,100,0.45,US,1730243472
346,la tuque,47.4334,-72.7824,3.66,65,100,3.13,CA,1730243473
347,borzya,50.3833,116.5167,-5.35,93,31,1.31,RU,1730243475
348,fernie,49.5,-115.0687,4.81,67,99,1.45,CA,1730243476
349,murghob,38.1702,73.9667,-5.48,64,0,3.09,TJ,1730243477
350,ziro,27.6333,93.8333,10.87,97,14,0.31,IN,1730243478
351,sheringham,52.9408,1.2093,13.03,84,100,2.52,GB,1730243479
352,shimoda,34.6667,138.95,18.24,94,100,1.76,JP,1730243482
353,tostado,-29.232,-61.7692,26.94,30,0,3.75,AR,1730243483
354,ust'-kulom,61.6864,53.6902,1.73,98,100,2.35,RU,1730243484
355,neelankarai,12.9455,80.2575,28.29,89,40,1.54,IN,1730243486
356,greymouth,-42.4667,171.2,10.91,88,98,0.31,NZ,1730243487
357,tokar,18.4254,37.729,29.23,73,26,3.23,SD,1730243488
358,caucete,-31.6518,-68.2811,32.32,20,0,2.89,AR,1730243458
359,ugoofaaru,5.6667,73.0,27.21,82,92,5.34,MV,1730243491
